item_id,title,category,brand,gender,age_group,attributes
ITEM_038,Güneş enerjili LED bahçe lambası,Bahçe/Aydınlatma/Bahçe Lambası,SolarGarden,unknown,unknown,enerji:güneş; tip:LED
ITEM_039,Elektrikli kablolu bahçe lambası,Bahçe/Aydınlatma/Bahçe Lambası,GardenLux,unknown,unknown,enerji:elektrik; bağlantı:kablolu
ITEM_040,Taşınabilir güneş paneli,Elektronik/Enerji/Güneş Paneli,SolarGo,unknown,unknown,ürün:güneş paneli
ITEM_041,Paslanmaz çelik termos 1 litre,Ev/Mutfak/Termos,Thermo,unknown,unknown,malzeme:çelik; hacim:1 litre
ITEM_042,Paslanmaz çelik termos 500 ml,Ev/Mutfak/Termos,Thermo,unknown,unknown,malzeme:çelik; hacim:500 ml
ITEM_043,Plastik spor matarası 1 litre,Spor/Aksesuar/Matara,FitBottle,unknown,unknown,malzeme:plastik; hacim:1 litre
ITEM_044,Cam su şişesi 1 litre,Ev/Mutfak/Şişe,GlassHome,unknown,unknown,malzeme:cam; hacim:1 litre
ITEM_045,Kablosuz bluetooth kulak içi kulaklık,Elektronik/Ses/Kulaklık,SoundGo,unisex,yetişkin,bağlantı:bluetooth; kablosuz:evet
ITEM_046,Altılı porselen yemek tabağı seti,Ev/Mutfak/Tabak,Sofra,unknown,unknown,malzeme:porselen; adet:6
ITEM_047,Kırmızı darbeye dayanıklı telefon kılıfı,Elektronik/Telefon Aksesuarı/Kılıf,CaseIt,unisex,yetişkin,renk:kırmızı; koruma:darbe
ITEM_048,Masif ahşap modern kitaplık,Ev/Mobilya/Kitaplık,WoodHome,unknown,unknown,malzeme:masif ahşap
ITEM_049,Bebek bezi 5 numara ikili paket,Anne Bebek/Bebek Bezi,BabySoft,bebek,bebek,numara:5; paket:ikili
ITEM_050,Kadın siyah uzun elbise,Moda/Kadın/Elbise,Dressy,kadın,yetişkin,renk:siyah; boy:uzun
ITEM_051,Solar güneş enerjili bahçe aydınlatması,Bahçe/Aydınlatma/Bahçe Lambası,SolarGarden,unknown,unknown,enerji:güneş; kullanım:bahçe
ITEM_052,Çelik vakumlu termos 1 L,Ev/Mutfak/Termos,Thermo,unknown,unknown,malzeme:çelik; hacim:1 L
